,name,id
934,GARDERMOEN,SN4780
962,GARDERMOEN - SØRØST,SN4735
1575,GARDERMOEN PLU,SN4785
316,GARDERMOEN SØR,SN4781
742,GARGNÄS D,SN213540
251,GARTLAND,SN73550
1632,GAUSDAL - FOLLEBU,SN13030
1782,GAUSDAL - OVREHAGEN,SN13060
1627,GAUSTATOPPEN,SN31970
194,GAUSVIK,SN87750
607,GEILO,SN25640
1383,GEILO - OLDEBRÅTEN,SN25630
1321,GEITHUS,SN26500
1559,GELA,SN1645300
714,GENEVE / COINTRIN,SN670000
1477,GIELAS,SN211000
1084,GIMSØY - OSAN,SN86310
335,GIMSØY - ÅRRSTRANDA,SN86290
1388,GJEMNES - REINSFJELLET,SN62980
485,GJENGEDAL,SN57990
128,GJERPEN - ÅRHUS,SN30330
553,GJERSTAD JERNBANESTASJON,SN35210
1598,GJETTUM PLU,SN19490
47,GJØAFELTET,SN76954
1192,GLITRE,SN19930
224,GLITREVANN,SN19932
639,GLOMFJORD,SN80700
1696,GLOMFJORD - SKIHYTTA,SN80705
144,GLOMFJORD - TVERRFJELLET,SN80707
613,GLOMMERSTRÄSK,SN214910
799,GODAL,SN30380
1498,GOL - STAKE,SN24960
536,GOLIAT FPSO,SN76956
1400,GOMEL,SN3304100
1341,GORZOW WLKP,SN1230000
313,GOTEBORG,SN251300
948,GOTEBORG-LANDVETTER,SN252600
1894,GOTSKA SANDON,SN258900
408,GOTSKA SANDON,SN258400
1434,GOURDON,SN753500
1234,GRAN,SN20540
1890,GRANEFELTET,SN76960
1698,GRANTRÄSK D,SN226120
1269,GRANÖ D,SN226130
355,GRIMELI I KRØDSHERAD,SN24600
1309,GRIMSE,SN9050
513,GRODÅS,SN58950
619,GRONINGEN AP EELDE,SN628000
446,GROSET,SN31520
1090,GROTLI III,SN15890
1771,GROV - SOLHAUG,SN14711
1364,GRUNNFARNES,SN88460
590,GRUNNFJORD - STAKKEN,SN90650
717,GRUVEFJELLET - BLOCKFIELD PLATEAU,SN99867
396,GRYLLEFJORD,SN88500
166,GRYTÅI,SN37310
1377,GRØNNING,SN60620
